Structure: Image,SMILES,Substance Identification: Reaxys Registry Number,Links to Reaxys,Data Count,CAS Registry Number,Chemical Name,Linear Structure Formula,Molecular Formula,Molecular Weight,Type of Substance,Type and Modification,InChI Key,Composition: Comp. Name,Composition: Comp. Conc.,Composition: Comp. Attrib.,Field Availability,Number of Reactions,Number of References,Melting Point: Melting Point [C],Solvent (Melting Point),Location,Comment (Melting Point),Crystallizes With,Amount (Melting Point) [mol],References,Links to Reaxys.1
,Cl[H].CN(C)O,3905683.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D3905683&database=RX&origin=ReaxysOutput&ln=,(2605 of 4000),16645-06-0,"N,N-dimethylhydroxylamine hydrochloride; dimethylhydroxylamine hydrochloride",(CH3)2NHOH(1+)*Cl(1-)=((CH3)2NHOH)Cl,C2H8NO*Cl,97.5446,acyclic,,HWWVAHCWJLGKLW-UHFFFAOYSA-N,,,,Identification(134); Physical Data(15); Bioactivity(12),120.0,203.0,105,ethanol; diethyl ether,,,,,Article; Graf; Graser; Sitzius; Archiv der Pharmazie und Berichte der Deutschen Pharmazeutischen Gesellschaft; vol. 302; 8; (1969); p. 561 - 571;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D104138&database=RX&origin=ReaxysOutput&ln=
,CB(C)OB(C)C,1918590.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1918590&database=RX&origin=ReaxysOutput&ln=,(2608 of 4000),19163-04-3,Dimethylborinsaeure-anhydrid,(CH3)2BOB(CH3)2,C4H12B2O,97.7607,acyclic,,SOHORHPPOPWYPK-UHFFFAOYSA-N,,,,Identification(7); Physical Data(7); Spectra(12),7.0,16.0,-21.2,,,,,,Article; Lanthier; Graham; Canadian Journal of Chemistry; vol. 47; (1969); p. 569;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D5223734&database=RX&origin=ReaxysOutput&ln=
,[N]=O.FB(F)F,16538380.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D16538380&database=RX&origin=ReaxysOutput&ln=,(2609 of 4000),,boron trifluoride*nitric oxide,BF3*NO,BF3*NO,97.8123,,,LXNBRJANRUMZNX-UHFFFAOYSA-N,,,,Identification(5); Physical Data(3); Spectra(3),2.0,5.0,-130,,,,,,"Article; Finlay, G. R.; Journal of Chemical Education; vol. 24; (1947); p. 149;; ; Article; Gmelin Handbuch der Anorganischen Chemie; vol. B: SVol.1; 4.4.4, page 177 - 187;; ; Article; German, A. F. O.; Booth, H. S.; Journal of Physical Chemistry; vol. 30; (1926); p. 369 - 377; (from Gmelin)",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D7314666&database=RX&origin=ReaxysOutput&ln=
,[H]B1N(C)N=NN1C,2325839.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D2325839&database=RX&origin=ReaxysOutput&ln=,(2610 of 4000),6982-51-0,"2,5-Dimethylcyclotetrazenoboran; 1,4-Dimethyl-Δ2-tetrazaborolin",N(CH3)NNN(CH3)BH,C2H7BN4,97.9154,acyclic,,GTNXXVUJFWMSTK-UHFFFAOYSA-N,,,,Identification(8); Physical Data(10); Spectra(21),21.0,22.0,11,,,,,,"Article; Morris; Perkins; Journal of the Chemical Society A: Inorganic, Physical, Theoretical; (1966); p. 580;; ; Article; Gmelin Handbuch der Anorganischen Chemie; vol. B: B-Verb.4; 12.5, page 305 - 310; (from Gmelin)",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D3755398&database=RX&origin=ReaxysOutput&ln=
,[H]B1N(C)CCN1C,506169.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D506169&database=RX&origin=ReaxysOutput&ln=,(2611 of 4000),38151-26-7,"1,3-dimethyl-[1,3,2]diazaborolidine; 1,3-dimethyl-1,3-diaza-2-boracyclopentane",N(CH3)BHN(CH3)CH2CH2,C4H11BN2,97.9557,heterocyclic,,AOWIQFUFOOJULP-UHFFFAOYSA-N,,,,Identification(15); Physical Data(7); Spectra(25),10.0,31.0,-64,,,,,,"Article; Allan,M. et al.; Journal of the Chemical Society, Dalton Transactions; (1973); p. 2675 - 2681;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D304562&database=RX&origin=ReaxysOutput&ln=
,CN(C)C.[H]B([H])C#N,4145899.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D4145899&database=RX&origin=ReaxysOutput&ln=,(2613 of 4000),,"N,N,N-trimethylamine cyanoborane; trimethylamine cyanoborane; Trimethylamin-cyanoboran; trimethylamine-cyanoborane adduct",(CH3)3N*H2BCN,CH2BN*C3H9N,97.9557,acyclic; Coordination compound,,LURMJOBTAQFDRC-UHFFFAOYSA-N,,,,Identification(13); Physical Data(3); Spectra(7); Bioactivity(2),22.0,17.0,62,,,,,,Article; Hall; Starnes; Spielvogel; Wisian-Neilson; Das; Wojnowich; Journal of Pharmaceutical Sciences; vol. 68; 6; (1979); p. 685 - 688;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D293053&database=RX&origin=ReaxysOutput&ln=
,CN(C)C.[H]B([H])[N+]#[C-],6782039.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D6782039&database=RX&origin=ReaxysOutput&ln=,(2614 of 4000),,Borisocyanid; trimethylamine*BH2NC,(CH3)3N*BH2NC,CH2BN*C3H9N,97.9557,acyclic; Coordination compound,,BUBQFEPQQGQUSX-UHFFFAOYSA-N,,,,Identification(6); Physical Data(3); Spectra(3),5.0,4.0,46 - 48,,,,,,"Note; Miller, Norman E.; Inorganic Chemistry; vol. 30; 9; (1991); p. 2228 - 2231; (from Gmelin)",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D7743649&database=RX&origin=ReaxysOutput&ln=
,[H].[H].[H].[H].[H].[H].B.C.C.C.C.N.N,16833938.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D16833938&database=RX&origin=ReaxysOutput&ln=,(2615 of 4000),,,C4H11BN2,C4H11BN2,97.9557,,,OXBURFMYFYJJRI-UHFFFAOYSA-N,,,,Identification(5); Physical Data(2),1.0,2.0,161 - 163,,,,,,"Article; Miller, John J.; Johnson, Frederic A.; Inorganic Chemistry; vol. 9; 1; (1970); p. 69 - 74;; ; Article; Gmelin Handbuch der Anorganischen Chemie; vol. B: B-Verb.1; 3.8, page 330 - 331; (from Gmelin)",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D3933666&database=RX&origin=ReaxysOutput&ln=
,OP(O)(O)=O,1921286.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1921286&database=RX&origin=ReaxysOutput&ln=,(2616 of 4000),86119-84-8; 7664-38-2,phosphoric acid; anhydrous phosphoric acid; Orthophosphoric acid; phosphorous acid,H3PO4m,H3O4P,97.9952,Isotope or isotope containing compound,,NBIIXXVUZAFLBC-UHFFFAOYSA-N,,,,Identification(4248); Physical Data(580); Spectra(98); Bioactivity(642),9769.0,12198.0,42.4,,Paragraph 0050,,,,"Patent; HISAMITSU PHARMACEUTICAL CO, INC.; EP2957297; (2015); A1;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D67916247&database=RX&origin=ReaxysOutput&ln=
,CCB(CC)CC,1731462.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1731462&database=RX&origin=ReaxysOutput&ln=,(2617 of 4000),97-94-9,triethyl borane,B(CH2CH3)3,C6H15B,97.9961,acyclic,,LALRXNPLTWZJIJ-UHFFFAOYSA-N,,,,Identification(640); Physical Data(127); Spectra(86),2847.0,1848.0,-92.9,,,,,,"Article; Stock, A.; Zeidler, F.; Chemische Berichte; vol. 54; (1921); p. 531 - 541;; ; Article; Gmelin Handbuch der Anorganischen Chemie; vol. B: SVol.1; 4.8.2, page 215 - 219;; ; Conference Paper; Nakamura, Katsumitsu; Sasaki, Tomoaki; Journal of Solid State Chemistry; vol. 177; 2; (2004); p. 542 - 546; (from Gmelin)",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D7360640&database=RX&origin=ReaxysOutput&ln=
,FC(F)C(F)=O,1902398.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1902398&database=RX&origin=ReaxysOutput&ln=,(2618 of 4000),2925-22-6,"2,2-difluoroacetyl fluoride; difluoroacetyl fluoride; difluoroacetic acid fluoride",C2HF3O,C2HF3O,98.0245,acyclic,,CRLSHTZUJTXOEL-UHFFFAOYSA-N,,,,Identification(24); Physical Data(11); Spectra(11),84.0,61.0,2 - 4,,,,,,"Article; Fokin, A. V.; Studnev, Yu. N.; Rapkin, A. I.; Sultanbekov, D. A.; Potarina, T. M.; Bulletin of the Academy of Sciences of the USSR Division of Chemical Science; vol. 33; (1984); p. 372 - 375; Izvestiya Akademii Nauk SSSR, Seriya Khimicheskaya; (1984); p. 411 - 415;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D5798837&database=RX&origin=ReaxysOutput&ln=
,[Na+].OCC([O-])=O,3914916.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D3914916&database=RX&origin=ReaxysOutput&ln=,(2619 of 4000),25289-18-3; 105938-46-3; 2836-32-0,sodium glycolate; glycolic acid sodium salt; sodium glycollate,Na(1+)*HOCH2COO(1-)=HOCH2COONa,C2H3O3*Na,98.0338,acyclic,,VILMUCRZVVVJCA-UHFFFAOYSA-M,,,,Identification(213); Physical Data(10); Spectra(16); Bioactivity(14),68.0,264.0,217,,,,,,Article; do Nascimento; Teixeira; Nunes; Gomes; Gaglieri; Treu-Filho; Pivatto; Caires; Ionashiro; Journal of Thermal Analysis and Calorimetry; vol. 130; 3; (2017); p. 1463 - 1472;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D72162894&database=RX&origin=ReaxysOutput&ln=
,CP(C#N)C#N,1848754.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1848754&database=RX&origin=ReaxysOutput&ln=,(2621 of 4000),27388-03-0,Methylphosphordicyanid; Methyl-dicyan-phosphin; Methyl-dicyano-phosphin,C3H3N2P,C3H3N2P,98.044,acyclic,,DHSZHRKBDOPZLO-UHFFFAOYSA-N,,,,Identification(8); Physical Data(10); Spectra(16),12.0,14.0,72 - 74,,,,,,"Article; Krolevets, A. A.; Antipova, V. V.; Martynov, I. V.; Bulletin of the Academy of Sciences of the USSR Division of Chemical Science; vol. 40; 12; (1991); p. 2483 - 2485; Izvestiya Akademii Nauk SSSR, Seriya Khimicheskaya; vol. 40; 12; (1991); p. 2847 - 2849;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D5657817&database=RX&origin=ReaxysOutput&ln=
,O=C1OC(=O)C=C1,106909.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D106909&database=RX&origin=ReaxysOutput&ln=,(2622 of 4000),108-31-6,maleic anhydride,O(CO)2C2H2,C4H2O3,98.0581,heterocyclic,,FPYJFEHAWHCUMM-UHFFFAOYSA-N,,,,Identification(10666); Physical Data(373); Spectra(104); Bioactivity(972),12835.0,18583.0,52,,,,,,"Article; Ismailov, S. A.; Journal of Organic Chemistry USSR (English Translation); vol. 24; 4; (1988); p. 651 - 653; Zhurnal Organicheskoi Khimii; vol. 24; 4; (1988); p. 725 - 727;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D5633051&database=RX&origin=ReaxysOutput&ln=
,OC1=CC(=O)C1=O,1925339.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1925339&database=RX&origin=ReaxysOutput&ln=,(2623 of 4000),31876-38-7,semisquaric acid; moniliformin; Semiquadratsaeure,C4H2O3,C4H2O3,98.0581,isocyclic,,KGPQKNJSZNXOPV-UHFFFAOYSA-N,,,,Identification(54); Physical Data(12); Spectra(15); Bioactivity(7),68.0,62.0,158,diethyl ether,,Decomposition,,,Article; Bellus; Fischer; Greuter; Martin; Helvetica Chimica Acta; vol. 61; 5; (1978); p. 1784 - 1813;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D8364&database=RX&origin=ReaxysOutput&ln=
,O=C1OC=CC1=O,7197373.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D7197373&database=RX&origin=ReaxysOutput&ln=,(2624 of 4000),62094-45-5,"furan-2,3-dione; furandione; 3-oxofuranone; diketofuran",C4H2O3,C4H2O3,98.0581,heterocyclic,,IAODRFIZLKITMK-UHFFFAOYSA-N,,,,Identification(39); Physical Data(13); Spectra(1),10.0,35.0,220 - 221,,,,,,Patent; ROCHE HOLDING AG; US5057614; (1991); A;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D120204&database=RX&origin=ReaxysOutput&ln=
,O=C1[13CH]=COC=[13CH]1,19876592.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D19876592&database=RX&origin=ReaxysOutput&ln=,(2625 of 4000),1134383-98-4,"[3,5-(13)C2]4H-pyran-4-one; 4H-[3,5-(13)C]pyran-4-one",C3(13)C2H4O2,C5H4O2,98.0636,,,CVQUWLDCFXOXEN-ZDOIIHCHSA-N,,,,Identification(5); Physical Data(1); Spectra(9),4.0,4.0,32 - 32.5,,,,,,"Article; Marshall, Laura J.; Cable, Karl M.; Botting, Nigel P.; Organic and Biomolecular Chemistry; vol. 7; 4; (2009); p. 785 - 788;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D8739989&database=RX&origin=ReaxysOutput&ln=
,O=C1C=[13CH]O[13CH]=C1,19876593.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D19876593&database=RX&origin=ReaxysOutput&ln=,(2626 of 4000),1134384-17-0,"[2,6-(13)C2]4H-pyran-4-one",C3(13)C2H4O2,C5H4O2,98.0636,,,CVQUWLDCFXOXEN-CQDYUVAPSA-N,,,,Identification(5); Physical Data(1); Spectra(4),1.0,1.0,33 - 33.5,,,,,,"Article; Marshall, Laura J.; Cable, Karl M.; Botting, Nigel P.; Organic and Biomolecular Chemistry; vol. 7; 4; (2009); p. 785 - 788;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D8739989&database=RX&origin=ReaxysOutput&ln=
,CCC(F)(F)F,1731961.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1731961&database=RX&origin=ReaxysOutput&ln=,(2627 of 4000),421-07-8,"1,1,1-trifluoropropane",CH3CH2CF3,C3H5F3,98.0679,acyclic,,KDWQLICBSFIDRM-UHFFFAOYSA-N,,,,Identification(108); Physical Data(12); Spectra(28),96.0,161.0,-149,,,,,,"Article; Elleman et al.; Journal of Molecular Spectroscopy; vol. 7; (1961); p. 322,335;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D3752230&database=RX&origin=ReaxysOutput&ln=
,[2H]C1=COC=C([2H])C1=O,112278.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D112278&database=RX&origin=ReaxysOutput&ln=,(2628 of 4000),7436-20-6,"4-Pyron-3,5-d2",C5H2D2O2,C5H4O2,98.0697,heterocyclic,,CVQUWLDCFXOXEN-QDNHWIQGSA-N,,,,Identification(8); Physical Data(1); Spectra(10),3.0,5.0,32.5,,,,,,Article; Mayo et al.; Journal of Organic Chemistry; vol. 29; (1964); p. 2682;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D3257713&database=RX&origin=ReaxysOutput&ln=
,[2H]C1=C([2H])C([2H])=C(N1)C=O,1448091.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1448091&database=RX&origin=ReaxysOutput&ln=,(2629 of 4000),35895-22-8,"(3,4,5-D)-Pyrrol-2-aldehyd",C5H2D3NO,C5H5NO,98.077,heterocyclic,,ZSKGQVFRTSEPJT-CBYSEHNBSA-N,,,,Identification(5); Physical Data(1),1.0,1.0,44.5,,,,,,Article; Johnson; Jones; Journal of the Chemical Society. Perkin transactions I; (1972); p. 840;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D2516439&database=RX&origin=ReaxysOutput&ln=
,OS(O)(=O)=O,2037554.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D2037554&database=RX&origin=ReaxysOutput&ln=,(2630 of 4000),7664-93-9,sulfuric acid; sulphuric acid,(HO)2SO2,H2O4S,98.0795,Isotope or isotope containing compound,,QAOWNCQODCNURD-UHFFFAOYSA-N,,,,Identification(2150); Physical Data(1928); Spectra(125); Bioactivity(1497),31346.0,29794.0,115 - 119,hexane,supporting information,,,,"Article; Rozhkova, Yuliya S.; Plekhanova, Irina V.; Gorbunov, Alexey A.; Stryapunina, Olga G.; Chulakov, Evgeny N.; Krasnov, Victor P.; Ezhikova, Marina A.; Kodess, Mikhail I.; Slepukhin, Pavel A.; Shklyaev, Yurii V.; Tetrahedron Letters; vol. 60; 11; (2019); p. 768 - 772;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D75945635&database=RX&origin=ReaxysOutput&ln=
,[H+].[O-]S([O-])(=O)=O,13192767.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D13192767&database=RX&origin=ReaxysOutput&ln=,(2631 of 4000),,sulfuric acid; dihydrogen sulfate; sulphuric acid; hydrogen sulphate; hydrogen sulfate; Sulfate Hydrogen,2H(1+)*O4S(2-),2H*O4S,98.0795,,,QAOWNCQODCNURD-UHFFFAOYSA-M,,,,Identification(599); Physical Data(9); Spectra(2),28.0,625.0,230 - 233,,,,,,Patent; ROCHE HOLDING AG; US5446065; (1995); A;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D132508&database=RX&origin=ReaxysOutput&ln=
,FC1=NC=CC=N1,742006.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D742006&database=RX&origin=ReaxysOutput&ln=,(2632 of 4000),31575-35-6,2-fluoropyrimidine; 2-Fluorpyrimidin; fluoropyrimidine,C4H3FN2,C4H3FN2,98.0796,heterocyclic,,WAVYAFBQOXCGSZ-UHFFFAOYSA-N,,,,Identification(2804); Physical Data(10); Spectra(13); Bioactivity(141),61.0,2818.0,17 - 18,,,,,,"Article; Krchnak; Arnold; Collection of Czechoslovak Chemical Communications; vol. 40; (1975); p. 1396,1398;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D2778313&database=RX&origin=ReaxysOutput&ln=
,FC1=CN=CN=C1,742017.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D742017&database=RX&origin=ReaxysOutput&ln=,(2633 of 4000),675-21-8,5-fluoropyrimidine,C4H3FN2,C4H3FN2,98.0796,heterocyclic,,KSPDSMOWMQFPBL-UHFFFAOYSA-N,,,,Identification(67); Physical Data(6); Spectra(10); Bioactivity(8),8.0,79.0,60,,supporting information,,,,"Article; Lee, Hong Geun; Milner, Phillip J.; Buchwald, Stephen L.; Journal of the American Chemical Society; vol. 136; 10; (2014); p. 3792 - 3795;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D63071873&database=RX&origin=ReaxysOutput&ln=
,[2H]C1=NC(N)=C([2H])C([2H])=N1,30702376.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D30702376&database=RX&origin=ReaxysOutput&ln=,(2634 of 4000),,,C4H2(2)H3N3,C4H5N3,98.08,,,OYRRZWATULMEPF-CBYSEHNBSA-N,,,,Identification(6); Physical Data(2); Spectra(4),1.0,1.0,156,,supporting information,,,,"Article; Bagley, Mark C.; Alnomsy, Ayed; Sharhan, Hussein I.; Synlett; vol. 27; 17; (2016); p. 2467 - 2472;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D69816845&database=RX&origin=ReaxysOutput&ln=
,[2H]C1=NC([2H])=C(N)N=C1[2H],30702377.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D30702377&database=RX&origin=ReaxysOutput&ln=,(2635 of 4000),,,C4H2(2)H3N3,C4H5N3,98.08,,,XFTQRUTUGRCSGO-CBYSEHNBSA-N,,,,Identification(6); Physical Data(2); Spectra(4),1.0,1.0,121,,supporting information,,,,"Article; Bagley, Mark C.; Alnomsy, Ayed; Sharhan, Hussein I.; Synlett; vol. 27; 17; (2016); p. 2467 - 2472;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D69816845&database=RX&origin=ReaxysOutput&ln=
,[2H]C1=NC([2H])=C([2H])C(N)=C1[2H],472580.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D472580&database=RX&origin=ReaxysOutput&ln=,(2636 of 4000),26257-21-6,"4-aminopyridine-2,3,5,6-d4; 4-Amino-<d4>-pyridin; 4-Amino-<2,3,5,6-d4>-pyridin; 2,3,5,6-Tetradeuterio-4-amino-pyridin",C5H2D4N2,C5H6N2,98.0843,heterocyclic,,NUKYPUAOHBNCPY-RHQRLBAQSA-N,,,,Identification(8); Physical Data(5); Spectra(5),5.0,5.0,157,,supporting information,,,,"Article; Bagley, Mark C.; Alnomsy, Ayed; Sharhan, Hussein I.; Synlett; vol. 27; 17; (2016); p. 2467 - 2472;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D69816845&database=RX&origin=ReaxysOutput&ln=
,CS(F)(=O)=O,1740836.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1740836&database=RX&origin=ReaxysOutput&ln=,(2637 of 4000),558-25-8,methyl fluorosulfonate,CH3SO2F,CH3FO2S,98.098,acyclic,,KNWQLFOXPQZGPX-UHFFFAOYSA-N,,,,Identification(73); Physical Data(31); Spectra(29); Bioactivity(10),92.0,147.0,123 - 124,,,,,,Article; Bianchi; Cate; Journal of Organic Chemistry; vol. 42; (1977); p. 2031;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D4046630&database=RX&origin=ReaxysOutput&ln=
,[Na+].CC([S-])=O,3997791.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D3997791&database=RX&origin=ReaxysOutput&ln=,(2638 of 4000),34832-35-4,sodium thioacetate; thioacetic acid sodium salt,Na(1+)*CH3COS(1-)=NaOCSCH3,C2H3OS*Na,98.101,acyclic,,RBBWNXJFTBCLKT-UHFFFAOYSA-M,,,,Identification(29); Physical Data(9); Spectra(6),175.0,132.0,174 - 180,,Paragraph 0052,,,,Patent; JIANGXI TIANXIN PHARMACEUTICAL; CN111960979; (2020); A;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D81738653&database=RX&origin=ReaxysOutput&ln=
,CC1=CC(=O)OC1,1609.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1609&database=RX&origin=ReaxysOutput&ln=,(2639 of 4000),6124-79-4,4-methyl-2(5H)-furanone; 4-methyl-5H-furan-2-one; 4-methylfuran-2(5H)-one,C5H6O2,C5H6O2,98.1014,heterocyclic,,ZZEYQBNQZKUWKY-UHFFFAOYSA-N,,,,Identification(124); Physical Data(36); Spectra(40); Bioactivity(11),221.0,195.0,109 - 110,,supporting information,,,,"Article; Chen, Bi-Shuang; Resch, Verena; Otten, Linda G.; Hanefeld, Ulf; Chemistry - A European Journal; vol. 21; 7; (2015); p. 3020 - 3030;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D64628286&database=RX&origin=ReaxysOutput&ln=
,OCC1=CC=CO1,106291.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D106291&database=RX&origin=ReaxysOutput&ln=,(2640 of 4000),98-00-0,(2-furyl)methyl alcohol; furfuryl alcohol,(C4H3O)CH2OH,C5H6O2,98.1014,heterocyclic,,XPFVYQJUAUNWIW-UHFFFAOYSA-N,,,,Identification(7592); Physical Data(340); Spectra(227); Bioactivity(566),3650.0,10401.0,169 - 170,,,,,,"Article; Setamdideh, Davood; Khezri, Behrooz; Rahmatollahzadeh, Mehdi; Poramjad, Avat Ali; Asian Journal of Chemistry; vol. 24; 8; (2012); p. 3591 - 3596;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D20161973&database=RX&origin=ReaxysOutput&ln=
,C=C1CCOC1=O,107939.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D107939&database=RX&origin=ReaxysOutput&ln=,(2641 of 4000),547-65-9,α-methylene-γ-butyrolactone; 3-methylenedihydrofuran-2(3H)-one; tulipalin A; 2-methylenebutyrolactone; α-methylenebutyrolactone; α-methylen-γ-butyrolactone; 3-methylenedihydro-(3H)-furan-2-one; 3-methylenedihydro-2(3H)-furanone; NSC-205367; MBL,C4H4CH2O2,C5H6O2,98.1014,heterocyclic,,GSLDEZOOOSBFGP-UHFFFAOYSA-N,,,,Identification(373); Physical Data(21); Spectra(46); Bioactivity(114),791.0,618.0,190 - 195,ethanol,,Decomp.,,,Article; Cavallito; Haskell; Journal of the American Chemical Society; vol. 68; (1946); p. 2332;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D587598&database=RX&origin=ReaxysOutput&ln=
,CC1OC(=O)C=C1,108058.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D108058&database=RX&origin=ReaxysOutput&ln=,(2642 of 4000),591-11-7,5-methyl-5H-furan-2-one; (+/-)-5-methyl-2(5H)-furanone; β-angelica lactone,CH(CH3)OC(O)CHCH,C5H6O2,98.1014,heterocyclic,,BGLUXFNVVSVEET-UHFFFAOYSA-N,,,,Identification(196); Physical Data(50); Spectra(43); Bioactivity(21),261.0,329.0,-30,,,,,,"Article; Leonard; Industrial and Engineering Chemistry; vol. 48; (1956); p. 1331,1341;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D587584&database=RX&origin=ReaxysOutput&ln=
